sample_num,isolation_level,total_consistent,total_runtime
0,READ UNCOMMITTED,1.0,4.57416296005249
1,READ UNCOMMITTED,1.0,4.588891983032227
2,READ UNCOMMITTED,1.0,4.558720111846924
3,READ COMMITTED,3.0,4.5776002407073975
4,READ COMMITTED,3.0,4.625798225402832
5,READ COMMITTED,3.0,4.592911005020142
6,REPEATABLE READ,3.0,4.599120616912842
7,REPEATABLE READ,3.0,4.575418949127197
8,REPEATABLE READ,3.0,4.571937561035156
9,SERIALIZABLE,2.0,0.5199413299560547
10,SERIALIZABLE,2.0,0.5270400047302246
11,SERIALIZABLE,2.0,0.5321059226989746
